Latitud,Longitud
38.968484,-0.148688
38.967718,-0.150631
38.967415,-0.151293
38.965885,-0.151144
38.965216,-0.150998
38.965,-0.150899
38.964634,-0.150661
38.963839,-0.150091
38.962955,-0.150394
38.962942,-0.147204
38.963695,-0.145611
